review_text,sentiment
So-so,neutral
Loved the product,positive
Loved the product,positive
Top quality,positive
Great experience,positive
Will buy again,positive
Poor support,negative
Average service,neutral
Rude staff,negative
Friendly staff,positive
Top quality,positive
Friendly staff,positive
Bad experience,negative
Fast delivery,positive
Great experience,positive
Horrible product,negative
Poor support,negative
Terrible service,negative
Terrible service,negative
Great experience,positive
Amazing support,positive
Excellent service,positive
Horrible product,negative
Very satisfied,positive
Terrible service,negative
Excellent service,positive
Neutral review,neutral
Great experience,positive
Will buy again,positive
Nothing special,neutral
Not happy,negative
Nothing special,neutral
Disappointed,negative
Nothing special,neutral
Great experience,positive
Satisfactory,neutral
Highly recommend,positive
Average service,neutral
Will buy again,positive
It was fine,neutral
Nothing special,neutral
Amazing support,positive
Bad experience,negative
Friendly staff,positive
Disappointed,negative
Will buy again,positive
Great experience,positive
Low quality,negative
Poor support,negative
Will buy again,positive
Neutral review,neutral
Won't buy again,negative
Satisfactory,neutral
Highly recommend,positive
Undecided,neutral
Low quality,negative
Highly recommend,positive
Neutral review,neutral
Friendly staff,positive
Very satisfied,positive
Okay experience,neutral
Fast delivery,positive
Top quality,positive
Average service,neutral
Excellent service,positive
Undecided,neutral
Late delivery,negative
Horrible product,negative
Loved the product,positive
Fast delivery,positive
Okay experience,neutral
Friendly staff,positive
Low quality,negative
Loved the product,positive
Will buy again,positive
Fast delivery,positive
Mediocre product,neutral
Top quality,positive
Top quality,positive
Fast delivery,positive
Won't buy again,negative
Bad experience,negative
Not happy,negative
Excellent service,positive
Okay experience,neutral
Not happy,negative
Very satisfied,positive
Excellent service,positive
Terrible service,negative
Rude staff,negative
Nothing special,neutral
Not happy,negative
Loved the product,positive
Loved the product,positive
It was fine,neutral
Not bad,neutral
Horrible product,negative
Average service,neutral
Excellent service,positive
Bad experience,negative
Neutral review,neutral
Bad experience,negative
Amazing support,positive
Friendly staff,positive
Terrible service,negative
So-so,neutral
Bad experience,negative
Terrible service,negative
Satisfactory,neutral
Excellent service,positive
Undecided,neutral
Low quality,negative
Great experience,positive
Late delivery,negative
Fast delivery,positive
Very satisfied,positive
Friendly staff,positive
Highly recommend,positive
Won't buy again,negative
It was fine,neutral
Great experience,positive
So-so,neutral
Undecided,neutral
So-so,neutral
Amazing support,positive
Low quality,negative
Won't buy again,negative
Average service,neutral
Disappointed,negative
Excellent service,positive
Fast delivery,positive
Highly recommend,positive
Horrible product,negative
Not bad,neutral
It was fine,neutral
Won't buy again,negative
Excellent service,positive
Will buy again,positive
Mediocre product,neutral
Very satisfied,positive
Excellent service,positive
Mediocre product,neutral
Late delivery,negative
Excellent service,positive
Nothing special,neutral
Mediocre product,neutral
Disappointed,negative
Late delivery,negative
Late delivery,negative
Great experience,positive
Horrible product,negative
Undecided,neutral
Horrible product,negative
Very satisfied,positive
Low quality,negative
Very satisfied,positive
Undecided,neutral
Average service,neutral
So-so,neutral
Highly recommend,positive
Disappointed,negative
Will buy again,positive
Bad experience,negative
Mediocre product,neutral
Amazing support,positive
Low quality,negative
Poor support,negative
Nothing special,neutral
Friendly staff,positive
Mediocre product,neutral
Nothing special,neutral
Disappointed,negative
Okay experience,neutral
Amazing support,positive
Highly recommend,positive
Disappointed,negative
Very satisfied,positive
Fast delivery,positive
Low quality,negative
Great experience,positive
It was fine,neutral
Amazing support,positive
Not bad,neutral
Highly recommend,positive
Late delivery,negative
Very satisfied,positive
Low quality,negative
Bad experience,negative
Bad experience,negative
Undecided,neutral
Terrible service,negative
Top quality,positive
Loved the product,positive
Friendly staff,positive
Rude staff,negative
Late delivery,negative
Rude staff,negative
Low quality,negative
Very satisfied,positive
Terrible service,negative
Terrible service,negative
Amazing support,positive
Not happy,negative
Friendly staff,positive
Bad experience,negative
Great experience,positive
Excellent service,positive
Satisfactory,neutral
Top quality,positive
Late delivery,negative
Low quality,negative
Loved the product,positive
Very satisfied,positive
Nothing special,neutral
Excellent service,positive
Loved the product,positive
Satisfactory,neutral
Satisfactory,neutral
Loved the product,positive
Very satisfied,positive
Fast delivery,positive
Great experience,positive
Friendly staff,positive
Excellent service,positive
Satisfactory,neutral
Neutral review,neutral
Late delivery,negative
So-so,neutral
Poor support,negative
Not bad,neutral
Won't buy again,negative
